Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
156,2014-11-15,LAC,,PHO,1st,1:26.0,LAC up 6 (22-16),J. Farmar makes 3-pt shot from 23 ft,LAC up 9 (25-16)
157,2014-11-15,LAC,,PHO,1st,0:52.0,LAC up 7 (25-18),S. Hawes misses 2-pt shot from 4 ft (block by M. Morris),LAC up 7 (25-18)
158,2014-11-15,LAC,,PHO,1st,0:06.0,LAC up 5 (25-20),S. Hawes makes 2-pt shot from 2 ft (assist by J. Crawford),LAC up 7 (27-20)
159,2014-11-15,LAC,,PHO,2nd,2:55.0,LAC down 1 (43-44),C. Paul makes 2-pt shot from 12 ft (assist by D. Jordan),LAC up 1 (45-44)
160,2014-11-15,LAC,,PHO,2nd,1:10.0,LAC down 3 (48-51),B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul),LAC down 1 (50-51)
161,2014-11-15,LAC,,PHO,2nd,0:07.0,LAC down 2 (52-54),C. Paul makes 2-pt shot from 2 ft,LAC tied (54-54)
162,2014-11-15,LAC,,PHO,3rd,1:53.0,LAC up 22 (88-66),J. Farmar misses 3-pt shot from 25 ft,LAC up 22 (88-66)
163,2014-11-15,LAC,,PHO,3rd,1:20.0,LAC up 21 (88-67),S. Hawes makes 3-pt shot from 24 ft (assist by C. Paul),LAC up 24 (91-67)
164,2014-11-15,LAC,,PHO,3rd,1:03.0,LAC up 24 (91-67),S. Hawes makes 2-pt shot at rim (assist by J. Farmar),LAC up 26 (93-67)
165,2014-11-15,LAC,,PHO,3rd,0:10.0,LAC up 21 (93-72),S. Hawes makes 2-pt shot from 2 ft (assist by J. Redick),LAC up 23 (95-72)
166,2014-11-15,LAC,,PHO,3rd,0:00.0,LAC up 22 (96-74),J. Crawford misses 3-pt shot from 52 ft,LAC up 22 (96-74)
167,2014-11-15,LAC,,PHO,4th,2:27.0,LAC up 13 (113-100),C. Paul makes 3-pt shot from 25 ft,LAC up 16 (116-100)
168,2014-11-15,LAC,,PHO,4th,1:57.0,LAC up 14 (116-102),C. Paul makes 2-pt shot from 17 ft,LAC up 16 (118-102)
169,2014-11-15,LAC,,PHO,4th,1:03.0,LAC up 14 (120-106),J. Farmar misses 3-pt shot from 25 ft,LAC up 14 (120-106)
170,2014-11-15,LAC,,PHO,4th,0:39.0,LAC up 13 (120-107),E. Udoh misses 2-pt shot from 11 ft,LAC up 13 (120-107)
171,2014-11-17,LAC,,CHI,1st,2:54.0,LAC up 1 (16-15),B. Griffin misses 2-pt shot from 19 ft,LAC up 1 (16-15)
172,2014-11-17,LAC,,CHI,1st,2:28.0,LAC up 1 (16-15),M. Barnes misses 2-pt shot from 4 ft,LAC up 1 (16-15)
173,2014-11-17,LAC,,CHI,1st,2:24.0,LAC up 1 (16-15),B. Griffin misses 2-pt shot at rim,LAC up 1 (16-15)
174,2014-11-17,LAC,,CHI,1st,1:40.0,LAC down 1 (16-17),R. Bullock misses 2-pt shot from 7 ft,LAC down 1 (16-17)
175,2014-11-17,LAC,,CHI,1st,0:58.0,LAC down 4 (16-20),S. Hawes makes 2-pt shot from 9 ft (assist by J. Crawford),LAC down 2 (18-20)
176,2014-11-17,LAC,,CHI,1st,0:22.0,LAC down 2 (18-20),B. Griffin misses 2-pt shot from 6 ft (block by T. Gibson),LAC down 2 (18-20)
177,2014-11-17,LAC,,CHI,1st,0:19.0,LAC down 2 (18-20),B. Griffin misses 3-pt shot from 26 ft,LAC down 2 (18-20)
